,Label,Tweet
59,0,baik larang cadar cingkrang jangan cuma untuk asn semua kalang laki laki ga cadar perempuan jangan cingkrang gitu
60,0,stop kurikulum varietas baru nama keluarga presiden sertifikasi layak nikah larang cadar celana cingkrang asn ahok bumn apasik
61,0,lemes mergo amggaran buzzer m tahu udah gitu bumn mo diberisihin bau pasir gurun asn suruh tampil modis ala indonesia enggak celana kurang pas alias cingkrang tamat uang kadrun tinggal rekening ngulama hahahaha
62,1,lo mau pake celana cingkrang bodo mat gw ga urus laku asn pegawai perintah ente larang pakai celana cingkrang
63,1,larang asn pakai cadar celana cingkrang jadi ada larang asn pelihara jenggot panjang
64,0,usul jadi pakai resmi asn masa depan hindar hingar bingar celana cingkrang cadar
65,0,negara punya atur sendiri dlm rekrut asn pegawai tdk cadar tdk celana cingkrang lgbt homoseksual tdk papar sbg anggota partai larang orgnsasi radikal pki hti semua biar asn netral bro jd usah banyak bacot jd provokator
66,1,gilir ngebom celana cingkrang rajin ibadah istri cadar mui bilang agama mennag larang semua asn celana cingrang amp cadar utk aman mui bilang menyslahkan hak ibadah mui benar munafik mafia mafia mui
67,0,ayah naen masing instansi atur formal soal pakai dinas jangan kantor perintah kantor jg atur jgnkan celana cingkrang baju ketat jg larang pakai rok mini kalau ngga mau buat usaha sendiri jangan jadi asn
68,0,thank you in advance menag uda bikin wacana asn jgn pake cadar celana cingkrang tri misal tri daya aparatur tri kok ga ngomong sama jadi kaya gak integrated gitu kerja antar tri sampe serius apa sih berantas
69,1,kau knp jgn muter mulu jgnkan cadar coba kasi gw alas knp celana cingkrang larang asn
70,0,kapan sdh sering bilang jgn asn larang celana cingkrang cadar bumn tuh screen sana byk pegawai puja jonru somad cb sekal main pertamina balikpapan lihat karyawannya kyk apa
71,0,kalo lu ga suka atur larang pake celana cingkrang ama cadar keluar ga usah jadi asn banyak jubel siap ganti
72,0,dri dulu aku bilang apa asn bumn gudang kadrun bangga bangga posting aksi bersilit silit ngantor pakai celana cingkrang mungkin biaya aksi kadeun sawer kalau bini aktif
73,0,lho bukan satpol pp singkat satun polisi pamong praja coba rahasia asn pakai rok cingkrang baju ketat rambut pirang cat dulu pns wanita pakai rok bawah lutut sekarang banyak atas lutut coba razia
74,0,knp teroris identik dgn pria celana cingkrang wanita cadar kita biar saat perintah jokowi dpr ri mprgoid polhukamri kemenag ri amp kemendagri ri bersih asn cingkrang cadar tangkapbuzzerteroris
75,0,kalau ken tetep cingkrang pakai cadar keluar aja asn banyak kok rejeki luar sana gitu aja repot
76,1,pegawai asn tdk cadar amp celana cingkrang ganti org generasi pki munafik
77,0,makanya panjul kalau goblok jgn borong semua perintah tdk prnh larang celana cingkrang jadi asn tp larang pakai celana cingkrang waktu kerja lingkung perintah tdk lingkung kerja mau pakai celana selangkang gk larang
78,0,dul mmgnya sdh atur kalo celana cingkrang gak jadi asn
79,0,owh iya bagus kalau tahu atur pakai asn jadi jelas celana cingkrang sama cadar bukan pakai asn jadi atur pakai
80,1,lah terus tulis orang pakai celana cingkrang jadi asn
81,0,lah kata kata pak zul cingkrang jadi asn hoax jadi gmn sih nih
82,0,bukan gitu kata kata akhir pak tengku ibarat klw celana cingkrang tdk jadi asn gitu mungkin sy salah paham juang org cingkrang asn
83,1,tdk uu larang asn pakai celana cingkrang ngapain mk
84,0,kata akhir pak tengku tdk jadi asn jadi kelompok cingkrang aju revisi uu pakai asn cingkrang jadi asn gitu maksud pak
85,0,masalah uu asn buat siapa sih kelompok cingkrang gak aju gugat mk situ pinter cuap cuap twitter coba kasih bantu hukum mk beres to
86,1,dulu gembong pki musso ejek menteri bung karno kh agussalim dgn kata mbek krn beliau jenggot beliau cingkrang jadi menteri sekarang manusia anti islam umat islam ejek jenggot tuduh celana cingkrang sbg radikal tdk jadi asn paham siap
87,0,menteri agama fachrul razi wacana buat larang kena celana cingkrang cadar asn undang reaksi beberapa pihak sumberberbagi hukumpolitik
88,0,wong kerjo atur kui udah menag ngomong asn bukan orang umum mau cingkrang congkrang cadar apa bebas gak ad orang ngelarang
89,0,sengaja pke seragam ojol biar kadrun pake argumen buat batalin standar pakai asn larang cadar amp cingkrang lingkung perintah salambudayaindonesia khilafahoutnkrimaju
90,0,semua mngutuk laku titik tdk perlu nyinyir dikaitka cln cingkrang kl mau nyindir menag jelas atur asn
91,0,cadar celana cingkrang larang guna asn
92,1,definisi asn radikal gmn y hrs jelas dulu atur jangan ntar gegara celana cingkrang lapor
93,1,perintah tak merta pecat asn jenggot celana cingkrang
94,1,kabupaten gorontalo asn pakai cadar celana cingkrang
95,0,mas coba tanya utama anggota dewan hormat kemarin teriak teriak tanya uud pasal ayat gara atur celana cingkrang cadar asn kalo masalah lebih besar bacot pada munafik diam
96,0,hadang jenggot celana cingkrang cadar perintah bentuk taskforce portal adu radikalisme asn lugas potensi rakyat jebak saling fitnah
97,0,awal masa jabat fachrul razi langsung mantik kontroversi mulai larang cadar celana cingkrang lingkung asn doa campur bahasa arab amp indonesia hingga tulis ulang buku ajar agama matanajwasengatanmenteriagama rabu live wib trans
98,0,kemarin gara atur celana cingkrang cadar asn milik surga pegawai rendah anggota dewan hormat teriak soal uud pasal ayat jadi langsung mingkem pura gak tau dasar munafik
99,1,kalau papar maling bagaimana maling uang rakyat paling banyak laku asn rampok uang rakyat lebih bahaya dar jenggot celana cingkrang
100,0,wakil ketua komisi viii dpr fraksi gerindra muklas sidik usul menteri agama fachrul razi tegas keluar atur larang aparatur sipil negara asn kena cadar celana cingkrang nasional
101,0,butuh skrg bkn lg gagas apalg debat tp atur ikat bhw khilafah larang cingkrang amp cadar larang sbg seragam asn amp jabat negara hilang gagas wisata ramah muslim bsk muncul ramah agama lain kelompok ttt ramah lgbt ngeri pak
102,0,media rame sebut kemenag ri fahrur razi larang cadar benar orang pake cadar silah kalau tri buat larang cadar amp cingkrang tni asn gak iya dong sana punya atur sendiri
103,0,sdh menteri bicara soal cadar celanan cingkrang lingkung asn pns sdh atur luar dinas bebas pakai cingkrang cadar jd jgn diplintir pidato pak menteri agama
104,0,atur menteri negeri nomor tahun wajib asn pria kena celana panjang tutup mata kaki ujung celana cingkrang atas mata kaki jadi kerja institusi ikut atur laku
105,0,menteri agama fachrur razi tegas silah orang mau pakai cadar kalau menteri buat larang cadar cingkrang tni boleh asn dong sana punya atur sendiri
106,0,pakai cadar silah kalau tri tni asn jelas ga cadar cingkrang ikut aturanya sama hal asn tni kalau nugas ga pakai sarung lagi cadar sarung bukan ukur ketaqwaan orang ambarwatirexy p politik nakula
107,0,cingkrang cangkring cadar cadur gak kait radikal radikul lebih baik perintah buat atur standar pakai asn instalasi perintah ruang publik tentu larang guna tutup wajah
108,0,pak menag kemenag ri buat atur asn gak pakai cadar gak celana cingkrang eeehhh luar protes
109,0,kemarin sempet rame kata menag ngelarang pakai cadar celana cingkrang kalau atur asn pegawai bawah kemenag wajib taat dong pulang kerja mau pakai apa aja bebas
110,1,kata toleransi toleransi paham beda bukan paksa kalau cingkrang cadar hormat kerja mana jadi asn lain milik sempat sama makmur negeri konsekuensi toleransi
111,0,wakil ketua komisi viii dpr fraksi gerindra muklas sidik usul menteri agama fachrul razi tegas keluar atur larang aparatur sipil negara asn kena cadar celana cingkrang
112,0,menag sindir asn pakai celana cingkrang vivanews
113,1,kabupaten gorontalo asn bebas cadar celana cingkrang iyah dong hak asasi orang biarawati suster pake jilbab bebas seliwer mana senang aja tuh indah bebas rusak tukang bikin gaduh justru jantung istana
114,1,pdhl kl asn pakai celana cingkrang cadar jamin orang sangat amanah makanya mrk blingsatan krn peluang utk kkn jd makin sempit krn diawasin trs sm ikwan akhwat garis lurus
115,0,si zul ga usah dengerin orang jahiliyah bin kolot muka mmg sperti asn paksa hrs ikut mau pdhl larang pakai cadar amp celana cingkrang masuk disiplin pakai
116,0,standar ganda banget sih om skrg ngomong atur ipdlt buat asn tegak kmren atur seragam no celana cingkrang amp cadar tentang adi sejak pikir pat
117,0,buya syafii ma arif ajak asn pakai pakai nasional kerja pakai celana cingkrang cadar buah simbol buah paham kalau hati bahaya sudrajatasep bhd lisdiyantor roellyrosuli fandiofficial bnie
118,0,buya syafii ma arif ajak asn pakai pakai nasional kerja pakai celana cingkrang cadar buah simbol buah paham kalau hati hati bahaya gregorius avilla yaspayelunggam natadiningrat soffiagus
119,0,mantan tum pp muhammadiyah ajak pakai sesuai atur instansi perintah klo memang berat tinggal cadar celana cingkrang jgn kerja jd pegawai asn perintah hehe
120,0,padahal pakai maqomnya bapak usah ragu ragu kalau mau buat bijak kalau kantor enggak pakai cadar celana cingkrang selesai kalau enggak jangan jadi asn dong ujar muklas
121,1,mayoritas anggota dpr tolak larang cadar celana cingkrang dukung datang moekhlas sidik fraksi gerindra latar belakang tentara alas atur pakai asn milik atur sendiri
122,0,tolak cadar cingkrang terorisme radikalisme ras sih gw tuju kalo emang asn pns guna dua sebut alas rapi bukan ras emang kerja pake sarung celana pendek bahkan pake topi kantor aja pst dtgur
123,1,tito asn bayar negara terus sumber uang negara emg siapa yaaaaa uang negara rakyat bukan pribadi presiden jadi ga ush pd ngatur dong sbgai rakyat ga berat kok sama cadar amp cingkrang sibuk ngurusin bukan urus
124,0,goblok larang cingkrang cadar asn ceramah d awas mengndung unsr provokative ente jgn memframing berita menjdi isi kpla ente
125,0,emang bodoh kau turangga celana cingkrang larang asn kalo gak asn silah aja mau pake celana cingkrang mau gak pake celana sekali gak masalah asal gak asn dasar paok bin goblok kau paham dulu permasalahanya baru kau komentar
126,0,bodo lo mo cingkrang jenggot atw apa emang lo asn
127,1,patut duga publik diam cadar celana cingkrang larang kalang asn padahal mayoritas asn agama islam juga wajib ikat syariat islam saudara saudara jadi asn butuh suara suara vokal yang luar asn
128,0,asn bebas cadar cingkrang busana bahasa tubuh kaitanya budaya ideologi bukti bom ledak selidik istri pake cadar hidup exlusif tanda radikalisme busana sikap bdya
129,1,hmm bener paling pancasila kok ndak amal nilai nilai pancasila tuhan maha esa dukung rencana perintah larang guna cadar and celana cingkrang asn asn pakai ketat and and rok pendek ndak masalah
130,0,semua gantung situasi kondisi cadar cingkrang cuma perintah kalau tdk suka henti jadi asn usir awas ceramah wajar waspada isi ceramah sesat ujar benci
131,1,kait pakai celana cingkrang cadar aparatur sipil negara asn perintah wakil gubernur jawa barat uu ruzhanul ulum kata pihak perlu salah kamuharustau
132,0,ngelarang pakai klo jd asn hadeh apa menteri agama bilang larang pakai cadar n celana cingkrang jd usaha kerja asn enggak hmm
133,1,bahas larang celana cingkrang cadar aparat sipil negara asn tak perlu uras energi lebih lebih besar
134,1,aneh kamu dulu asn banyak celana cingkrang gak larang memang atur larang apa kamu memang gak pernah liat asn celana cingkrang aneh bin ajaib kamu
135,0,kadrun selalu aneh mana atur larang celana cingkrang drun atur larang rokok ttp aja rokok tanya mana atur larang rokok gudang garam tatacara atur jgn jadi munafik ga ikut atur keluar asn
136,1,larang celana cingkrang asn wagub jabar tak masalah
137,0,larang cadar cingkrang asn kamuflase byk tampil bgtu justru karywan bumn kira ceramah org radikal laku semua bumn
138,0,kalau perintah tetap tata cara pakai tni asn tempat tugas cingkrang cadar perintah dzalim bib
139,1,wagub jabar sebut tak masalah larang celana cingkrang asn news jawa barat
140,1,daerah wagub jabar tak mau masalah guna celana cingkrang cadar olh asn
141,0,orang pake cingkrang cadar asn baca asn langgar tentu pakai sesuai aparatur
142,0,zul tiap rezim ikut kembang jaman skrg jaman teror laku teroris wajar klo khatib masjid diawasin larang cadar cingkrang jg udh lama atur asn mmg sperti trus perintah hrs ikut jaman jahiliyah bin kolot sperti dulu
143,0,woy naen dongok asn atur patuh kalau ga mau ikut atur jangan jadi asn janga lu puter urus cadar celana cingkrang asn olah perintah ngatur cara ibadah orang makanya otak jgn banyak bungkus sprei jdi mkin dongok
144,0,bangsat kau tolol apa hub nya celana cingkrang cadar dgn asn ko bikin malu leluhur krna ko gatau mazhab nya hanafi klu ko kafir brarti ko lompat pagar urus aja kyakinan lu sndiri
145,0,wacana larang guna cadar celana cingkrang asn aparatur sipil negara gulir menteri agama fachrul razi tuai kontroversi masyarakat wacana larang guna cadar celana
146,0,bego apa hubung leluhur asn celana cingkrang yahhh akun asli lah ga pakai akun palsu hehehe malu sama nama leluhur yaa
147,0,larang cadar celana cingkrang cm buat asn memang pakai asn atur itu br wacana dr menag jangan laku sesat perintah anti islam
148,0,muslim asn sy tdk tuju teman sy pakai cadar atw laki pakai celana cingkrang tugas punten bukan benci anti islam tp pegawai negara taat atur pegawai negara wajib hukum lawanmanipulatoragama
149,1,pemprov aceh kabar sangat tentang putus menteri agama pan rb isi larang cadar celana cingkrang kalang asn
150,1,pemprov jateng sila asn celana cingkrang
151,0,bumn sarang krn undang ceramah orang kyk baiqlah gin kemenag kemendagri kemenarb salah suruh asn tdk cadar celana cingkrang sorot hrusnya bumn berani gak eric tohir laku atur seragam utk anak buah
152,0,ustadz ustadtengkuzul mohon maaf kalau masuk keluar kantor perintah mungkin mending mungkin tamu orang stress salah masuk gedung lebih parah ada isu asn gak pakai cadar cingkrang lama kerja
153,0,haidar alwi mendoorng menag fachrul razi segera realisasi rencana larang guna cadar celana cingkrang asn laranganbercadar
154,1,atur asn gak celana cingkrang mana bodoh ente contoh nyata sekarang orang jamaah tabligh jadi asn banyak bagi pakai celana cingkrang kerja profesional pernah ganggu rugi negara tdk atur larang
155,0,nah nih mulut provokator suka melintir cadar celana cingkrang larang asn lama jam kerja dlm kantor perintah sbg atur disiplin pakai luar serah masing hati sama isi kepala loe buruk bener sih
156,0,salah satu sumbu pendek semua bungkus agama gak ngerti bicara apa jawab apa atur lama jadi asn kalau ken pake cadar celana cingkrang sila gak larang kok asal undur diri asn
157,0,mungkin teuku wisnu rasa asn kapan angkat mu bro wisnu loe bebas mau pake celana cingkrang ndak pake celana sama sekali urus loe tp jangan goblok paham
158,1,test the water lah atur pakai asn pakai baju asn rapi dah gitu aja mau cingkrang kek cadar gak masalah lama gw ga pernah liat sih asn cadar kalau cingkrang banyak tp indikator penting bagus kerja
160,0,menteri agama tetap bersikukuh asn larang pakai cadar celana cingkrang dapat kalian gimane ges
161,0,ora kaya kue cara maine mba kabeh menungsa dueni tolok ukur dewek angger menungsa esih mikir dosa aja larang apa maning kon mundur dadi asn ujar negara kie dudu due ne sing nganggo cadar kambi katok cingkrang apa nek kon mundur mending gnti baen institusine ddi pt
162,0,semua orang punya hak wajib d negara masyarakat gk nglarang kok pke celana cingkrang atw cadar gk asn doang tad jgn jadi semua masyarakat indonesia larang pke celana cingkrang sm cadar inget tadz adzab kubur pedih neraka perih
163,1,gubernur babel tak larang asn pakai cadar celana cingkrang
164,0,luar asn silah klo mo pake cadar mo cingkrang sperti sya asn ikut atur negara
165,0,betul dukung menag utk tertib asn dr celana cingkrang amp cadar tdk langgar syariat krn bukan wajib agama guna seragam sesuai tentu
166,1,apa hubung togog sm org mau make cadar ato cingkrang kalo larang asn pria pake kalung waras masak laki pake kalung bgmana gog togog mudeng gak
167,0,tampil ilc tv one diri stiba tanggap larang asn cadar celana cingkrang sekolah tinggi ilmu islam bahasa arab stiba makassar
168,0,serah kamu wisnu kamu bukan asn mau jenggot mau cingkrang mau crosshijaberpun gak peduli karepmu
169,0,cari makan nkri pakai uang rupiah hidup nkri turut atur nkri bukan diri negara khilafuck jadi asn kok pakai celana cingkrang cadar pakai celana cingkrang cadar luar institusi perintah nkri citra baik agama islam jadi jelek gara kaum radikal
170,0,harus ngga sih ngga substansif tp sasar soal patuh asn kpd atur negara liat aja issue cingkrang asn arah mana
171,0,sorry deh panas cm aneh aja cara pikir nya gk bs guna akal sehat gak perlu jd orang asn kritik bijak perintah atur nya sewodd situ sndri kpanasan liat clana cingkrang ap urgentcy jg sama andah
172,0,perihal cadar ma cingkrang mau atur gilir hotpants baju cleavage rendah tatto ngatur ngatur padahal wacana cadar ma cingkrang utk asn udh ribet aje lu heran
173,0,rakyat blum sejahtera malah mikir seragam nama rasa indonesia ku kini waris belanda seragam pns tak cocok sarung maruf amin celana cingkrang jadi baju baru asn lewat tribunnews
174,0,deradikalisasi asn larang pakai celana cingkrang yaela cetek pikir lo bung
175,0,larang asn orang kerja ikut atur lah masyarakat bebas mau cadar cingkrang lindung kl kerja ngikut ga cocok ga kerja
176,0,singgung larang cadar celana cingkrang menag tegas asn news taucepattanpabatas
177,0,hak negara cadar layak tempat publik layan rakyat kalo tindak jahat balik cadar elo tanggung kalo soal celana cingkrang asn cingkrang tentara boleh cingkrang lah biar makin amburadul negara
178,0,singgung larang cadar celana cingkrang menag tegas asn taucepattanpabatas
180,1,asn baik alhamdulillaah celana cingkrang pertama produksi iwearzule tiba november iwearcingkrang
181,1,menteri agama fachrul razi ban larang asn guna cadar maupun celana cingkrang atur kait sebut razi sebut bukan wewenang menteri agama
182,0,wartakbb soal wacana asn larang pakai celana cingkrang cadar kata ketua dprd kbb
183,0,pakai cadar celana cingkrang politikus nasdem keluar asn
184,1,udah nonton simpul negeri ajaib islam agama aku indonesia kata peluk agama batas jalan syariat agama asn lah ga celana cingkrang cadar apa urus
185,0,semua celana panjang kalo pake kok jadi cingkrang kalo mo daftar jadi asn mas ga sih
186,1,goblok cingkrang blok sy bukan asn sy orang paling baik versi
187,1,yth bp jokowi umat islam mayoritas pernah paksa perintah larang asn pake rok mini padahal bikin dosa muslim liat knapa cadar celana cingkrang ngganggu larang visi misi tri presiden
188,0,apa urus ama loe mau cingkrang mau cungkring asn taat atur you now prett
189,0,ga nyambung neh artis coba detikcom tanya asn pake cingkrang dong ahh
190,0,teungku wisnu bukan jadi asn tanya dapat orang hijrah ngelakuin sunnahnya rasul celana cingkrang amp jenggot umpama golong jadi asn ciiw
191,1,bahas asn gk minat bahas lo lagi takut parnah cingkrang pas musim banjir teuku wisnu cingkrang masa kamu takut viva
192,1,asa nilai baik tidak orang boss lagi asn emang asn edygypsum abil habibi ambarwatirexy teuku wisnu jenggot amp celana cingkrang alhamdulillah baik
193,0,lagi bahas bukan soal janggut cingkrang hubung dng baik alim tpi dibhas atur pakai asn asn mau cingkrang asal bukan pake pakai dinas
194,0,massoooook gak nanya tuuhh mau pakai cingkrang amp cadar hak siapa bhs atur asn piknik yuuukk shutdownanggaransiluman
196,0,berita ttg cadar cingkrang msk larang ranah asn slm hdupku lihat asn cadar amp cingkrang ga pernah lihat hijab aja jarang
197,0,larang asn itu larang wilayah kantor luar bebas mau pke cingkrang mau pke cadar mau ceplok seterah gitu aja gak ngerti
198,0,untuk kalang asn sedang kerja kalau bukan asn mau pakai celana cingkrang celana pendek pakai celana sekalipun serah ente bro
199,0,kalau larang cadar sih masuk akal cegah teroris paham crosshijaber barang kali lha kalau celana cingkrang sudah kan khusus asn sendiri tahu lah taktik perintah rinci pikir positif
200,0,byk salah paham sama nyata menteri agama asn dah cingkrang amp cadar tdk boleh kalang asn ssdang kerja luar jam kerja mau cingkrang amp cadar bebas bukan asn hak siapa mau pake cadar celana cingkrang
201,0,riuh soal cadar cingkrang padahal pakai cadar cingkrang fine aja tuh cuma pns asn larang kantor krn atur tpi kok banyak ngamukan bukan pns asn lucu
203,0,sini kadang orang engga paham bahas larang celana cingkrang mereka kerja kantor perintah kemenag ri larang semua asn waktu kantor pulang kantor serah
204,0,wlo mau cingkrang mau jenggot lama bukan asn serah lo
205,1,kom yandri fraksi pan banten konfirmasi isu isu aktual kait celana cingkrang cadar kalang asn mohon pak menteri klarifikasi terlalu dini simpul celana cingkrang radikal
206,1,emang kalo asn celana cingkrang ganggu kerja orang asn
207,0,tuju bgt bli mau jengotan mau cadar mau celana cingkrang serah kali pegawai asn tetap style paham yakin jangan jadi pns aparat negara negara lembaga instansi perintah punya standar atur
208,1,maksud orang jenggot cingkrang baik lepas asn bukan klo perintah larang asn coba jelas alas
209,0,bicakan atur seragam asn lo mau cingkrang jenggot niqob gak masalah tong lo bukan asn susah amet sih mikirnya
210,0,cadar celana cingkrang seragam asn
212,1,tuju banget cari narsum erti masalah point nya asn celana cingkrang bewok cadar moga bantu
216,1,wasekjen mui kh zaitun rasmin tanggap larang asn pakai cadar amp celana cingkrang ilc
217,1,simak diyoutube paham menag tdk mearang jk cadar cingkrang pakai tempat umum cuma anjur aman lingkup instansi pemerinrah tingkat amp jg utk disiplin asn jgn framing lbh narasi bantah yandri susanto justru keluar substansi narasi menag
218,1,pa mohmahfudmd anda atur asn ber agama nasrani larang pakai kalung salib bukan langgar hak asasi da atur langgar ham nya atur larang celana cingkrang atur langgar ham
